transaction_id,is_suspicious_ground_truth
TXN00000001,False
TXN00000002,False
TXN00000003,False
TXN00000004,False
TXN00000005,False
TXN00000006,False
TXN00000007,False
TXN00000008,False
TXN00000009,False
TXN00000010,False
TXN00000011,False
TXN00000012,False
TXN00000013,False
TXN00000014,False
TXN00000015,False
TXN00000016,False
TXN00000017,False
TXN00000018,False
TXN00000019,False
TXN00000020,False
TXN00000021,False
TXN00000022,False
TXN00000023,False
TXN00000024,False
TXN00000025,False
TXN00000026,False
TXN00000027,False
TXN00000028,False
TXN00000029,False
TXN00000030,False
TXN00000031,False
TXN00000032,False
TXN00000033,False
TXN00000034,False
TXN00000035,False
TXN00000036,False
TXN00000037,False
TXN00000038,False
TXN00000039,False
TXN00000040,False
TXN00000041,False
TXN00000042,False
TXN00000043,False
TXN00000044,False
TXN00000045,False
TXN00000046,False
TXN00000047,False
TXN00000048,False
TXN00000049,False
TXN00000050,False
TXN00000051,False
TXN00000052,False
TXN00000053,False
TXN00000054,True
TXN00000055,False
TXN00000056,False
TXN00000057,False
TXN00000058,False
TXN00000059,False
TXN00000060,False
TXN00000061,False
TXN00000062,False
TXN00000063,False
TXN00000064,False
TXN00000065,False
TXN00000066,False
TXN00000067,False
TXN00000068,False
TXN00000069,False
TXN00000070,False
TXN00000071,False
TXN00000072,False
TXN00000073,False
TXN00000074,False
TXN00000075,False
TXN00000076,False
TXN00000077,False
TXN00000078,False
TXN00000079,False
TXN00000080,False
TXN00000081,False
TXN00000082,False
TXN00000083,False
TXN00000084,False
TXN00000085,False
TXN00000086,False
TXN00000087,False
TXN00000088,False
TXN00000089,False
TXN00000090,False
TXN00000091,False
TXN00000092,False
TXN00000093,False
TXN00000094,False
TXN00000095,False
TXN00000096,False
TXN00000097,False
TXN00000098,False
TXN00000099,False
TXN00000100,False
TXN00000101,False
TXN00000102,False
TXN00000103,False
TXN00000104,False
TXN00000105,False
TXN00000106,False
TXN00000107,False
TXN00000108,False
TXN00000109,False
TXN00000110,False
TXN00000111,False
TXN00000112,False
TXN00000113,False
TXN00000114,False
TXN00000115,False
TXN00000116,False
TXN00000117,False
TXN00000118,False
TXN00000119,False
TXN00000120,False
TXN00000121,False
TXN00000122,False
TXN00000123,False
TXN00000124,False
TXN00000125,False
TXN00000126,False
TXN00000127,False
TXN00000128,False
TXN00000129,False
TXN00000130,False
TXN00000131,False
TXN00000132,False
TXN00000133,False
TXN00000134,False
TXN00000135,False
TXN00000136,False
TXN00000137,False
TXN00000138,False
TXN00000139,False
TXN00000140,False
TXN00000141,False
TXN00000142,False
TXN00000143,False
TXN00000144,False
TXN00000145,False
TXN00000146,False
TXN00000147,False
TXN00000148,False
TXN00000149,False
TXN00000150,False
TXN00000151,False
TXN00000152,False
TXN00000153,False
TXN00000154,False
TXN00000155,False
TXN00000156,False
TXN00000157,False
TXN00000158,False
TXN00000159,False
TXN00000160,False
TXN00000161,False
TXN00000162,False
TXN00000163,False
TXN00000164,False
TXN00000165,False
TXN00000166,False
TXN00000167,False
TXN00000168,False
TXN00000169,False
TXN00000170,False
TXN00000171,False
TXN00000172,False
TXN00000173,False
TXN00000174,False
TXN00000175,False
TXN00000176,False
TXN00000177,False
TXN00000178,False
TXN00000179,False
TXN00000180,False
TXN00000181,False
TXN00000182,False
TXN00000183,False
TXN00000184,False
TXN00000185,False
TXN00000186,False
TXN00000187,False
TXN00000188,False
TXN00000189,False
TXN00000190,False
TXN00000191,False
TXN00000192,False
TXN00000193,False
TXN00000194,False
TXN00000195,False
TXN00000196,False
TXN00000197,False
TXN00000198,False
TXN00000199,False
TXN00000200,False
TXN00000201,False
TXN00000202,False
TXN00000203,False
TXN00000204,False
TXN00000205,True
TXN00000206,False
TXN00000207,False
TXN00000208,False
TXN00000209,False
TXN00000210,False
TXN00000211,False
TXN00000212,False
TXN00000213,False
TXN00000214,False
TXN00000215,False
TXN00000216,False
TXN00000217,False
TXN00000218,True
TXN00000219,False
TXN00000220,False
TXN00000221,False
TXN00000222,False
TXN00000223,False
TXN00000224,False
TXN00000225,False
TXN00000226,False
TXN00000227,False
TXN00000228,False
TXN00000229,False
TXN00000230,False
TXN00000231,False
TXN00000232,False
TXN00000233,False
TXN00000234,False
TXN00000235,False
TXN00000236,False
TXN00000237,False
TXN00000238,False
TXN00000239,False
TXN00000240,False
TXN00000241,False
TXN00000242,False
TXN00000243,False
TXN00000244,False
TXN00000245,True
TXN00000246,False
TXN00000247,False
TXN00000248,False
TXN00000249,False
TXN00000250,False
TXN00000251,False
TXN00000252,False
TXN00000253,False
TXN00000254,False
TXN00000255,False
TXN00000256,False
TXN00000257,False
TXN00000258,False
TXN00000259,False
TXN00000260,False
TXN00000261,True
TXN00000262,False
TXN00000263,True
TXN00000264,False
TXN00000265,False
TXN00000266,False
TXN00000267,False
TXN00000268,False
TXN00000269,False
TXN00000270,False
TXN00000271,False
TXN00000272,False
TXN00000273,False
TXN00000274,False
TXN00000275,False
TXN00000276,False
TXN00000277,False
TXN00000278,False
TXN00000279,False
TXN00000280,False
TXN00000281,False
TXN00000282,False
TXN00000283,False
TXN00000284,False
TXN00000285,False
TXN00000286,False
TXN00000287,False
TXN00000288,False
TXN00000289,False
TXN00000290,False
TXN00000291,False
TXN00000292,False
TXN00000293,False
TXN00000294,False
TXN00000295,False
TXN00000296,False
TXN00000297,False
TXN00000298,False
TXN00000299,False
TXN00000300,False
TXN00000301,False
TXN00000302,False
TXN00000303,False
TXN00000304,False
TXN00000305,False
TXN00000306,False
TXN00000307,False
TXN00000308,False
TXN00000309,False
TXN00000310,False
TXN00000311,False
TXN00000312,False
TXN00000313,False
TXN00000314,False
TXN00000315,False
TXN00000316,False
TXN00000317,False
TXN00000318,False
TXN00000319,False
TXN00000320,False
TXN00000321,False
TXN00000322,False
TXN00000323,False
TXN00000324,False
TXN00000325,False
TXN00000326,False
TXN00000327,False
TXN00000328,False
TXN00000329,False
TXN00000330,False
TXN00000331,False
TXN00000332,False
TXN00000333,False
TXN00000334,False
TXN00000335,False
TXN00000336,False
TXN00000337,False
TXN00000338,False
TXN00000339,False
TXN00000340,False
TXN00000341,False
TXN00000342,False
TXN00000343,False
TXN00000344,False
TXN00000345,False
TXN00000346,False
TXN00000347,False
TXN00000348,False
TXN00000349,False
TXN00000350,False
TXN00000351,False
TXN00000352,False
TXN00000353,False
TXN00000354,False
TXN00000355,False
TXN00000356,True
TXN00000357,False
TXN00000358,False
TXN00000359,False
TXN00000360,False
TXN00000361,False
TXN00000362,False
TXN00000363,False
TXN00000364,False
TXN00000365,False
TXN00000366,False
TXN00000367,False
TXN00000368,False
TXN00000369,False
TXN00000370,False
TXN00000371,False
TXN00000372,False
TXN00000373,False
TXN00000374,False
TXN00000375,False
TXN00000376,True
TXN00000377,False
TXN00000378,False
TXN00000379,False
TXN00000380,False
TXN00000381,False
TXN00000382,False
TXN00000383,False
TXN00000384,False
TXN00000385,False
TXN00000386,False
TXN00000387,False
TXN00000388,False
TXN00000389,False
TXN00000390,False
TXN00000391,False
TXN00000392,False
TXN00000393,False
TXN00000394,False
TXN00000395,False
TXN00000396,False
TXN00000397,False
TXN00000398,False
TXN00000399,False
TXN00000400,False
TXN00000401,False
TXN00000402,False
TXN00000403,False
TXN00000404,False
TXN00000405,False
TXN00000406,False
TXN00000407,False
TXN00000408,False
TXN00000409,False
TXN00000410,False
TXN00000411,False
TXN00000412,False
TXN00000413,False
TXN00000414,False
TXN00000415,False
TXN00000416,False
TXN00000417,False
TXN00000418,False
TXN00000419,False
TXN00000420,False
TXN00000421,False
TXN00000422,False
TXN00000423,False
TXN00000424,False
TXN00000425,False
TXN00000426,False
TXN00000427,False
TXN00000428,False
TXN00000429,False
TXN00000430,False
TXN00000431,False
TXN00000432,False
TXN00000433,False
